MGID,GHID,MXSineMax,MYSineMax,MXAcelMax,MYAcelMax,MZAcelMax,MXSineAvg,MYSineAvg,MXAcelAvg,MYAcelAvg,MZAcelAvg,MXSineMin,MYSineMin,MXAcelMin,MYAcelMin,MZAcelMin,MTime
8602,5,0.014551,0.010681,9.63E-03,-1.30E-02,3.70E-04,6.92E-03,0.003045,8.43E-03,-1.52E-02,-1.62E-03,0.000319,-6.16E-03,7.04E-03,-1.74E-02,-0.003333,20:57.1
8603,8,0.027514,3.23E-02,-0.003333,5.44E-02,7.41E-04,0.019039,0.02213,-4.49E-03,5.24E-02,-1.12E-03,9.07E-03,1.16E-02,-5.93E-03,5.04E-02,-2.96E-03,22:23.8
8604,7,0.028825,3.40E-02,-2.07E-02,-7.41E-03,-4.07E-03,2.03E-02,2.56E-02,-0.022279,-9.10E-03,-5.63E-03,0.013261,1.66E-02,-2.37E-02,-1.07E-02,-7.41E-03,31:09.6
8605,5,1.38E-02,1.13E-02,9.63E-03,-1.37E-02,3.70E-04,5.02E-03,2.13E-03,8.43E-03,-1.52E-02,-1.61E-03,-0.002967,-7.77E-03,7.04E-03,-0.017037,-0.003333,31:27.8
8606,6,2.01E-02,0.027545,-0.026667,-1.85E-02,-6.30E-03,0.01086,1.70E-02,-2.80E-02,-2.04E-02,-8.31E-03,0.001374,5.77E-03,-0.02963,-2.22E-02,-0.01,31:27.9
8607,8,2.64E-02,3.26E-02,-2.96E-03,5.41E-02,3.70E-04,1.76E-02,2.22E-02,-4.48E-03,5.24E-02,-1.12E-03,9.17E-03,0.008201,-5.93E-03,5.07E-02,-2.96E-03,32:52.4
8608,7,0.026518,0.032756,-2.07E-02,-7.04E-03,-3.70E-03,2.01E-02,2.52E-02,-0.022279,-9.10E-03,-5.64E-03,1.29E-02,1.80E-02,-2.37E-02,-1.07E-02,-7.41E-03,41:39.5
8609,6,0.018105,2.71E-02,-0.026667,-1.85E-02,-6.67E-03,1.06E-02,1.76E-02,-2.80E-02,-0.020371,-8.31E-03,8.73E-04,5.72E-03,-0.029259,-2.22E-02,-0.01,41:58.4
8610,5,1.15E-02,0.010064,0.01,-1.33E-02,0,4.55E-03,2.66E-03,8.43E-03,-1.52E-02,-1.61E-03,-2.50E-03,-5.25E-03,7.41E-03,-0.017037,-0.003333,41:58.5
8611,8,0.02733,3.06E-02,-2.96E-03,5.41E-02,7.41E-04,1.86E-02,2.11E-02,-4.48E-03,5.24E-02,-1.12E-03,8.50E-03,0.011039,-5.93E-03,5.07E-02,-2.96E-03,43:21.0
8612,7,0.026345,3.46E-02,-2.07E-02,-7.41E-03,-4.07E-03,1.88E-02,2.45E-02,-2.23E-02,-9.10E-03,-5.63E-03,0.011256,0.016239,-2.37E-02,-1.07E-02,-7.41E-03,52:09.5
8613,5,1.36E-02,1.00E-02,9.63E-03,-1.33E-02,0,6.10E-03,2.68E-03,8.44E-03,-0.015202,-1.61E-03,-3.84E-03,-5.54E-03,7.04E-03,-0.017037,-0.003333,52:29.2
8614,6,1.92E-02,0.028953,-0.026667,-1.85E-02,-6.67E-03,0.011181,0.017915,-2.80E-02,-2.04E-02,-8.31E-03,3.54E-03,9.13E-03,-0.029259,-2.22E-02,-0.01,52:29.3
8615,8,2.81E-02,3.35E-02,-0.003333,5.41E-02,7.41E-04,1.72E-02,0.021977,-4.47E-03,5.24E-02,-0.001126,6.62E-03,9.18E-03,-6.30E-03,5.04E-02,-3.70E-03,53:49.4
8616,7,2.63E-02,3.16E-02,-2.07E-02,-7.41E-03,-3.70E-03,0.018102,2.40E-02,-2.23E-02,-9.10E-03,-5.63E-03,0.011084,0.0161,-2.37E-02,-1.07E-02,-7.78E-03,02:39.3
8617,6,2.13E-02,2.90E-02,-0.026667,-1.85E-02,-6.67E-03,0.010454,1.87E-02,-2.80E-02,-2.04E-02,-8.31E-03,9.56E-04,8.55E-03,-0.02963,-2.22E-02,-0.01,02:59.8
8618,5,0.016243,1.17E-02,9.63E-03,-1.33E-02,0,8.22E-03,4.29E-03,8.43E-03,-0.015197,-0.001609,7.20E-05,-3.94E-03,7.04E-03,-0.017037,-0.003333,02:59.9
8619,8,2.73E-02,0.030501,-2.96E-03,5.41E-02,3.70E-04,1.84E-02,2.13E-02,-4.47E-03,5.24E-02,-0.001134,4.97E-03,0.014522,-6.30E-03,5.04E-02,-0.004444,04:17.9
8620,7,0.027687,3.27E-02,-2.07E-02,-7.78E-03,-3.70E-03,1.85E-02,2.45E-02,-2.23E-02,-9.09E-03,-0.005633,0.01078,1.58E-02,-2.37E-02,-1.07E-02,-7.41E-03,13:09.2
8621,5,0.017169,1.25E-02,0.01,-1.33E-02,0,9.71E-03,5.69E-03,8.45E-03,-0.015197,-1.62E-03,2.62E-03,-0.001387,7.04E-03,-0.017037,-0.003333,13:30.3
8622,6,0.018206,2.70E-02,-0.026667,-1.85E-02,-6.67E-03,9.12E-03,1.74E-02,-2.80E-02,-0.020364,-8.31E-03,1.16E-03,8.02E-03,-0.029259,-2.22E-02,-0.01,13:30.6
8623,8,2.60E-02,2.86E-02,-2.96E-03,5.41E-02,7.41E-04,1.70E-02,0.01984,-4.45E-03,5.24E-02,-0.001119,8.73E-03,0.010968,-5.93E-03,5.04E-02,-2.59E-03,14:46.3
8624,7,2.65E-02,3.18E-02,-2.11E-02,-7.41E-03,-4.07E-03,1.76E-02,2.32E-02,-2.23E-02,-9.11E-03,-0.005633,1.13E-02,0.014265,-0.023333,-1.07E-02,-7.04E-03,23:39.1
8625,5,0.016777,1.36E-02,0.01,-1.33E-02,0,9.92E-03,6.28E-03,8.44E-03,-1.52E-02,-1.61E-03,1.01E-03,0.000174,7.41E-03,-0.017037,-3.70E-03,24:01.1
8626,6,1.73E-02,3.01E-02,-0.026667,-1.85E-02,-6.30E-03,9.78E-03,1.92E-02,-0.027986,-2.04E-02,-8.30E-03,-8.46E-04,8.50E-03,-0.029259,-0.021852,-1.04E-02,24:01.3
8627,8,2.74E-02,2.89E-02,-2.96E-03,5.41E-02,7.41E-04,1.76E-02,0.020693,-4.47E-03,5.24E-02,-1.12E-03,6.92E-03,0.010812,-5.56E-03,5.04E-02,-2.96E-03,25:14.9
